,V1,V2,V3,V4,V5,V6,V7,V8,V9
2020,0.000626223,1.00E-06,7.82E-01,6.90E-01,5.94E-01,1.01E+00,8.58E-01,9.15E-01,9.72E-01
2030,0.000645276,9.03E-07,2.90E-01,1.58E-01,2.72E-01,5.55E-01,3.07E-01,4.55E-01,7.86E-01
2040,0.000646561,8.03E-07,1.71E-01,1.01E-01,1.10E-01,3.41E-01,2.30E-01,4.62E-01,8.99E-01
2050,0.000638885,7.34E-07,1.12E-01,6.89E-02,5.48E-02,2.98E-01,1.74E-01,6.83E-01,7.42E-01
2060,0.000628858,6.93E-07,8.85E-02,5.64E-02,3.96E-02,2.53E-01,1.43E-01,7.99E-01,7.33E-01
2070,0.000618081,6.71E-07,7.00E-02,4.83E-02,2.57E-02,2.03E-01,1.14E-01,7.82E-01,7.39E-01
2080,0.00060569,6.54E-07,5.83E-02,3.93E-02,1.80E-02,1.50E-01,8.75E-02,6.90E-01,7.04E-01
2090,0.000591147,6.37E-07,4.77E-02,3.38E-02,1.47E-02,1.14E-01,6.72E-02,5.51E-01,6.91E-01
2100,0.000574189,6.22E-07,3.73E-02,2.75E-02,1.25E-02,8.04E-02,4.85E-02,3.86E-01,6.46E-01
2020,0.000630144,1.05E-06,6.34E-01,7.61E-01,6.68E-01,1.06E+00,8.05E-01,8.97E-01,9.82E-01
2030,0.00066995,1.06E-06,5.68E-01,5.69E-01,5.54E-01,1.43E+00,8.99E-01,8.42E-01,9.55E-01
2040,0.000711901,1.04E-06,4.37E-01,3.94E-01,4.51E-01,1.30E+00,8.21E-01,7.43E-01,9.23E-01
2050,0.00075374,9.91E-07,3.63E-01,3.13E-01,3.68E-01,9.49E-01,6.71E-01,6.44E-01,8.88E-01
2060,0.000792117,9.34E-07,3.07E-01,2.74E-01,3.16E-01,7.71E-01,5.61E-01,6.27E-01,8.54E-01
2070,0.000824422,8.93E-07,2.52E-01,2.38E-01,2.52E-01,8.08E-01,5.28E-01,5.61E-01,8.19E-01
2080,0.000848045,8.67E-07,2.32E-01,2.10E-01,1.78E-01,8.18E-01,5.08E-01,5.31E-01,7.83E-01
2090,0.000859525,8.47E-07,2.27E-01,1.87E-01,1.34E-01,6.61E-01,5.19E-01,4.47E-01,7.43E-01
2100,0.000861305,8.34E-07,2.49E-01,1.62E-01,1.30E-01,5.66E-01,5.57E-01,3.75E-01,7.02E-01
2020,0.000634954,1.08E-06,9.66E-01,9.69E-01,8.27E-01,1.14E+00,1.07E+00,1.01E+00,9.84E-01
2030,0.00068678,1.18E-06,7.71E-01,7.45E-01,9.04E-01,1.32E+00,1.11E+00,9.91E-01,9.60E-01
2040,0.00074643,1.28E-06,7.21E-01,6.54E-01,9.05E-01,1.43E+00,1.14E+00,9.96E-01,9.47E-01
2050,0.000813233,1.37E-06,6.77E-01,6.29E-01,8.79E-01,1.57E+00,1.18E+00,1.00E+00,9.34E-01
2060,0.000886882,1.46E-06,6.39E-01,5.85E-01,8.17E-01,1.50E+00,1.21E+00,9.92E-01,9.16E-01
2070,0.000967791,1.54E-06,6.14E-01,5.42E-01,7.67E-01,1.33E+00,1.25E+00,1.05E+00,9.02E-01
2080,0.001057031,1.63E-06,5.83E-01,4.90E-01,7.14E-01,1.11E+00,1.29E+00,1.14E+00,8.91E-01
2090,0.001156278,1.71E-06,5.37E-01,4.36E-01,6.64E-01,9.96E-01,1.30E+00,1.18E+00,8.85E-01
2100,0.001267727,1.79E-06,4.91E-01,3.85E-01,6.24E-01,8.19E-01,1.32E+00,1.18E+00,8.79E-01
2020,0.000630938,1.06E-06,8.71E-01,8.35E-01,7.55E-01,1.14E+00,9.18E-01,7.96E-01,1.12E+00
2030,0.000666138,1.09E-06,5.16E-01,5.18E-01,5.15E-01,1.09E+00,8.78E-01,7.20E-01,1.16E+00
2040,0.000692168,1.09E-06,3.69E-01,3.21E-01,3.55E-01,8.37E-01,7.51E-01,6.48E-01,1.27E+00
2050,0.00070865,1.11E-06,2.51E-01,2.11E-01,2.18E-01,4.70E-01,5.82E-01,5.93E-01,1.35E+00
2060,0.000718051,1.12E-06,1.89E-01,1.63E-01,1.39E-01,2.89E-01,4.58E-01,5.79E-01,1.38E+00
2070,0.000723401,1.12E-06,1.40E-01,1.20E-01,8.95E-02,2.07E-01,3.68E-01,5.74E-01,1.53E+00
2080,0.000722648,1.12E-06,9.99E-02,8.53E-02,6.03E-02,1.58E-01,3.02E-01,5.71E-01,1.53E+00
2090,0.00071193,1.10E-06,7.54E-02,6.27E-02,4.47E-02,1.26E-01,2.62E-01,6.11E-01,1.13E+00
2100,0.000691068,1.07E-06,5.85E-02,4.82E-02,3.63E-02,1.04E-01,2.40E-01,6.59E-01,8.26E-01
2020,0.000633982,1.07E-06,7.14E-01,8.08E-01,5.98E-01,1.27E+00,9.56E-01,7.60E-01,1.02E+00
2030,0.000687949,1.15E-06,4.22E-01,5.37E-01,4.40E-01,1.66E+00,1.00E+00,5.45E-01,9.31E-01
2040,0.000759228,1.28E-06,3.79E-01,5.17E-01,4.37E-01,1.68E+00,9.44E-01,6.57E-01,9.08E-01
2050,0.000850415,1.42E-06,3.66E-01,4.40E-01,3.86E-01,1.15E+00,8.13E-01,7.53E-01,9.21E-01
2060,0.000966045,1.52E-06,4.21E-01,4.45E-01,3.45E-01,1.10E+00,8.02E-01,1.10E+00,8.99E-01
2070,0.001109226,1.56E-06,4.68E-01,4.51E-01,3.06E-01,8.92E-01,7.44E-01,1.28E+00,8.85E-01
2080,0.001278635,1.56E-06,4.93E-01,4.59E-01,2.59E-01,6.10E-01,6.65E-01,1.19E+00,8.72E-01
2090,0.001464494,1.51E-06,4.64E-01,4.43E-01,2.15E-01,3.57E-01,5.91E-01,8.79E-01,8.37E-01
2100,0.001654619,1.44E-06,3.88E-01,4.09E-01,1.78E-01,1.51E-01,4.87E-01,4.84E-01,8.24E-01
